v8-version,6,1,534,48,0
code-creation,Stub,3,212324,0x65f6dc50c0,2319,"RecordWriteStub"
code-creation,Stub,3,212326,0x65f6dc59e0,2334,"RecordWriteStub"
code-creation,Stub,3,212328,0x65f6dc6300,371,"CEntryStub"
code-creation,Stub,3,212331,0x65f6dc6480,2262,"RecordWriteStub"
code-creation,Stub,3,212333,0x65f6dc6d60,2283,"RecordWriteStub"
code-creation,Stub,3,212335,0x65f6dc7660,2258,"RecordWriteStub"
code-creation,Stub,3,212337,0x65f6dc7f40,2304,"RecordWriteStub"
code-creation,Stub,3,212340,0x65f6dc8840,2292,"RecordWriteStub"
code-creation,Stub,3,212342,0x65f6dc9140,2296,"RecordWriteStub"
code-creation,Stub,3,212353,0x65f6dc9a40,567,"CEntryStub"
code-creation,Stub,3,212356,0x65f6dc9c80,2261,"RecordWriteStub"
code-creation,Stub,3,212359,0x65f6dca560,2274,"RecordWriteStub"
code-creation,Builtin,5,212361,0x65f6dcae60,134,"StrictPoisonPillThrower"
code-creation,Builtin,5,212363,0x65f6dcaf00,124,"ReturnReceiver"
code-creation,Builtin,5,212366,0x65f6dcaf80,530,"GeneratorPrototypeNext"
code-creation,Builtin,5,212369,0x65f6dcb1a0,338,"ResumeGeneratorTrampoline"
code-creation,Builtin,5,212372,0x65f6dcb300,335,"CreateIterResultObject"
code-creation,Builtin,5,212374,0x65f6dcb460,534,"GeneratorPrototypeReturn"
code-creation,Builtin,5,212376,0x65f6dcb680,546,"GeneratorPrototypeThrow"
code-creation,Builtin,5,212380,0x65f6dcb8c0,1656,"AsyncFromSyncIteratorPrototypeNext"
code-creation,Builtin,5,212383,0x65f6dcbf40,200,"ToBoolean"
code-creation,Builtin,5,212385,0x65f6dcc020,4284,"ResolveNativePromise"
code-creation,Builtin,5,212387,0x65f6dcd0e0,448,"StringEqual"
code-creation,Builtin,5,212389,0x65f6dcd2a0,5296,"PerformNativePromiseThen"
code-creation,Builtin,5,212392,0x65f6dce760,828,"RejectNativePromise"
code-creation,Builtin,5,212394,0x65f6dceaa0,2192,"AsyncFromSyncIteratorPrototypeReturn"
code-creation,Builtin,5,212397,0x65f6dcf340,1680,"AsyncFromSyncIteratorPrototypeThrow"
code-creation,Builtin,5,212399,0x65f6dcf9e0,1024,"AsyncGeneratorPrototypeNext"
code-creation,Builtin,5,212402,0x65f6dcfde0,491,"AsyncGeneratorResumeNext"
code-creation,Builtin,5,212404,0x65f6dcffe0,980,"AsyncGeneratorResolve"
code-creation,Builtin,5,212407,0x65f6dd03c0,207,"AsyncGeneratorReject"
code-creation,Builtin,5,212409,0x65f6dd04a0,1024,"AsyncGeneratorPrototypeReturn"
code-creation,Builtin,5,212411,0x65f6dd08a0,1024,"AsyncGeneratorPrototypeThrow"
code-creation,Builtin,5,212414,0x65f6dd0ca0,134,"Illegal"
code-creation,Builtin,5,212416,0x65f6dd0d40,134,"ObjectAssign"
code-creation,Builtin,5,212419,0x65f6dd0de0,134,"ObjectGetOwnPropertyDescriptor"
code-creation,Builtin,5,212421,0x65f6dd0e80,134,"ObjectGetOwnPropertyDescriptors"
code-creation,Builtin,5,212424,0x65f6dd0f20,134,"ObjectGetOwnPropertyNames"
code-creation,Builtin,5,212426,0x65f6dd0fc0,134,"ObjectGetOwnPropertySymbols"
code-creation,Builtin,5,212428,0x65f6dd1060,134,"ObjectIs"
code-creation,Builtin,5,212431,0x65f6dd1100,134,"ObjectPreventExtensions"
code-creation,Builtin,5,212433,0x65f6dd11a0,134,"ObjectSeal"
code-creation,Builtin,5,212435,0x65f6dd1240,972,"ObjectCreate"
code-creation,Builtin,5,212438,0x65f6dd1620,134,"ObjectDefineProperties"
code-creation,Builtin,5,212440,0x65f6dd16c0,134,"ObjectDefineProperty"
